t_id,proveedor,coste_inicial,fecha_hora_recogida
45977,23,1.4637983297567008,2022-09-04 08:00:00
11971,6,1.9256698823121616,2022-09-29 18:00:00
8021,4,2.7871958626763664,2022-09-17 14:00:00
67738,34,2.147652963940165,2022-09-18 11:00:00
53925,27,2.051244874292009,2022-09-22 21:00:00
35962,18,2.352764723577155,2022-09-16 04:00:00
35963,18,1.9392473392588043,2022-09-30 06:00:00
8022,4,3.013237586570082,2022-09-29 04:00:00
22037,11,1.7584902082866951,2022-09-18 20:00:00
38001,19,2.49398694120108,2022-09-08 20:00:00
57898,29,1.7291097731160467,2022-09-18 13:00:00
14030,7,2.460949604897039,2022-09-08 20:00:00
6030,3,2.216639862894686,2022-09-24 19:00:00
17,0,1.2348497463581594,2022-09-11 04:00:00
18038,9,2.182053740911837,2022-09-30 13:00:00
26034,13,1.111239486001632,2022-09-08 16:00:00
4046,2,1.4501116427362355,2022-09-14 00:00:00
29992,15,1.1979145604286252,2022-09-11 23:00:00
31942,16,2.491277751072924,2022-09-02 09:00:00
14031,7,2.0868997545968733,2022-09-28 18:00:00
28031,14,3.254213403093726,2022-09-17 18:00:00
51970,26,2.0188330106413326,2022-09-16 22:00:00
8023,4,2.244506300359563,2022-09-11 15:00:00
18,0,2.2513939372175846,2022-09-20 21:00:00
22038,11,,2022-09-10 12:00:00
50014,25,2.421231375092408,2022-09-17 01:00:00
28032,14,1.7244652922569146,2022-09-21 18:00:00
35964,18,1.7670657114446726,2022-09-02 16:00:00
19,0,,2022-09-27 10:00:00
35965,18,1.871642990687431,2022-09-25 12:00:00
48008,24,1.721250796792822,2022-09-09 23:00:00
48009,24,2.512537570699573,2022-09-27 14:00:00
31943,16,2.035631752332478,2022-09-14 04:00:00
18039,9,2.899199001248989,2022-09-13 14:00:00
48010,24,1.6542219235960651,2022-09-03 11:00:00
22039,11,1.5724202397575473,2022-09-19 03:00:00
28033,14,2.156709354651625,2022-09-28 21:00:00
41990,21,1.6150149537819918,2022-09-15 08:00:00
24007,12,1.7318589233787762,2022-09-13 20:00:00
67739,34,2.61108431647028,2022-09-25 01:00:00
31944,16,2.8914875047127007,2022-09-28 16:00:00
24008,12,1.452774718994037,2022-09-02 23:00:00
11972,6,1.791394108229159,2022-09-05 02:00:00
20,0,2.760452626186431,2022-09-18 08:00:00
50015,25,1.9536482296475897,2022-09-06 15:00:00
10023,5,0.999346743995866,2022-09-19 14:00:00
6031,3,1.4933322431216485,2022-09-14 07:00:00
55897,28,1.4555825207789497,2022-09-07 08:00:00
29993,15,2.166659786914923,2022-09-20 12:00:00
65759,33,2.5308751768069744,2022-09-28 04:00:00
59891,30,1.6778990009418102,2022-09-13 05:00:00
51971,26,2.070202953549664,2022-09-01 11:00:00
51972,26,1.4043450448471713,2022-09-22 03:00:00
55898,28,2.0293177548855583,2022-09-03 09:00:00
14032,7,1.539641534764542,2022-09-22 12:00:00
10024,5,2.860200606283886,2022-09-21 00:00:00
67740,34,1.2963745865046103,2022-09-11 17:00:00
59892,30,2.146596546009345,2022-09-21 13:00:00
41991,21,1.693378704313896,2022-09-07 20:00:00
2085,1,2.272549329618358,2022-09-21 11:00:00
59893,30,0.9820476757179528,2022-09-10 02:00:00
29994,15,1.1830557769256078,2022-09-16 08:00:00
26035,13,1.9874161633898249,2022-09-14 17:00:00
