t_id,tienda,fecha_hora_venta,precio_venta
45977,26,2022-09-04 15:00:00,3.0464168232862097
11971,24,2022-09-29 18:00:00,3.477033798686168
8021,15,2022-09-18 02:00:00,3.0359070083050987
67738,9,2022-09-18 18:00:00,3.742456904819902
53925,18,2022-09-23 01:00:00,3.688872608591818
35962,32,2022-09-16 07:00:00,3.5051917878373726
35963,28,2022-09-30 15:00:00,3.340096144450553
8022,9,2022-09-29 16:00:00,4.0340554527016925
22037,18,2022-09-19 00:00:00,2.992538559949616
38001,15,2022-09-09 00:00:00,3.5712778478222145
57898,3,2022-09-18 16:00:00,3.302223441259053
14030,15,2022-09-09 01:00:00,4.441947113173806
6030,17,2022-09-24 19:00:00,3.523438210327431
17,6,2022-09-11 06:00:00,2.434342597526666
18038,15,2022-09-30 15:00:00,3.928526020149115
26034,30,2022-09-08 22:00:00,2.07252981084476
4046,24,2022-09-14 08:00:00,2.8032869740336874
29992,7,2022-09-12 06:00:00,2.308205134606686
31942,12,2022-09-02 15:00:00,4.664176374388475
14031,30,2022-09-29 07:00:00,2.7244834325312866
28031,4,2022-09-17 22:00:00,5.152946612556123
51970,2,2022-09-17 06:00:00,3.1370435295903274
8023,14,2022-09-11 20:00:00,4.103733244976126
18,3,2022-09-21 04:00:00,4.652825496073117
22038,21,2022-09-10 20:00:00,3.321214298863331
50014,23,2022-09-17 08:00:00,4.16530496897708
28032,16,2022-09-22 02:00:00,2.974911478758746
35964,7,2022-09-02 22:00:00,2.461785659981301
19,13,2022-09-27 17:00:00,3.866805419295249
35965,30,2022-09-25 15:00:00,3.057785369363063
48008,16,2022-09-10 08:00:00,3.678542477990704
48009,3,2022-09-27 20:00:00,4.384071166898278
31943,21,2022-09-01 06:00:00,2.6281238358672385
18039,26,2022-09-13 23:00:00,4.20595671428636
48010,11,2022-09-03 17:00:00,3.57811010055459
22039,30,2022-09-19 13:00:00,2.6634739670322274
28033,30,2022-09-29 01:00:00,3.2422087065749765
41990,9,2022-09-15 10:00:00,3.764649828980718
24007,12,2022-09-14 03:00:00,3.1577746620167093
67739,17,2022-09-25 04:00:00,3.791139698426475
31944,1,2022-09-28 21:00:00,4.877611576851331
24008,16,2022-09-03 11:00:00,3.015044495610673
11972,13,2022-09-05 07:00:00,3.5675695923304325
20,10,2022-09-18 14:00:00,3.7553479185468417
50015,5,2022-09-06 19:00:00,4.007151905552509
10023,11,2022-09-19 17:00:00,2.486372069280937
6031,28,2022-09-14 19:00:00,2.1677764647330937
55897,33,2022-09-07 14:00:00,3.0262098803871416
29993,20,2022-09-20 19:00:00,4.26817905006031
65759,13,2022-09-28 12:00:00,3.390332500915327
59891,26,2022-09-13 11:00:00,3.6485925081278423
51971,24,2022-09-01 23:00:00,2.955670452984509
51972,13,2022-09-22 05:00:00,2.1461909675493818
55898,8,2022-09-03 21:00:00,2.888448477213847
14032,9,2022-09-22 15:00:00,2.240128951016082
10024,20,2022-09-21 00:00:00,5.068540399245675
67740,18,2022-09-12 01:00:00,2.476926031981325
59892,27,2022-09-21 16:00:00,3.112116621854764
41991,6,2022-09-08 00:00:00,3.3584526658563894
2085,7,2022-09-21 19:00:00,4.61286900025427
59893,13,2022-09-10 13:00:00,3.039252985514933
29994,11,2022-09-16 11:00:00,2.189691088696794
26035,3,2022-09-14 23:00:00,3.534220576982923
16043,10,2022-09-17 01:00:00,3.604222906349935
14033,28,2022-09-16 17:00:00,3.634973677087559
41992,17,2022-09-08 12:00:00,3.476065114043881
22555,17,2022-09-14 23:00:00,2.833268132835057
16568,14,2022-09-24 17:00:00,2.0475060043561712
68204,0,2022-10-01 06:00:00,4.799109261892227
44512,3,2022-09-27 02:00:00,3.2861803959960607
4520,2,2022-09-05 18:00:00,2.008332222204241
44513,13,2022-09-19 01:00:00,3.773344197096357
12493,20,2022-09-21 01:00:00,2.7186022084611468
34449,10,2022-09-18 16:00:00,4.42457165099777
8562,19,2022-09-24 00:00:00,2.8360545100790566
30502,14,2022-09-25 17:00:00,3.807955407359532
6566,25,2022-09-20 07:00:00,2.8503683799801487
18553,11,2022-09-23 15:00:00,3.739383764564424
10524,32,2022-09-17 12:00:00,3.4567535894168664
12494,19,2022-09-10 05:00:00,2.9931024193640594
12495,21,2022-09-13 21:00:00,3.2993602054229623
68205,6,2022-09-18 00:00:00,4.014565466749376
14561,31,2022-09-01 06:00:00,3.995240404935744
52480,24,2022-09-08 19:00:00,4.464648629780155
50502,32,2022-09-07 04:00:00,4.040581138042795
8563,3,2022-09-23 22:00:00,2.583734854994065
52481,3,2022-09-28 22:00:00,2.000375182651768
20543,3,2022-09-02 16:00:00,2.5844867700349434
38505,1,2022-09-16 10:00:00,3.0592697244650564
16569,2,2022-09-21 08:00:00,3.964697078626297
46461,10,2022-09-08 14:00:00,3.766924895956425
52482,12,2022-09-19 07:00:00,2.1872719581866216
28516,31,2022-09-17 03:00:00,2.803460933654057
40556,5,2022-09-24 10:00:00,2.59303479544327
18554,5,2022-09-06 06:00:00,3.2708617113672664
34450,21,2022-09-03 13:00:00,3.646903063542621
54423,33,2022-09-11 22:00:00,4.069013770322412
46462,29,2022-09-11 02:00:00,4.045414807801275
4521,14,2022-09-22 00:00:00,2.845127945869628
64350,14,2022-09-27 08:00:00,3.4125436398
8564,26,2022-09-12 17:00:00,2.953572320688497
6567,30,2022-09-18 09:00:00,3.82866369393342
62354,24,2022-09-26 19:00:00,4.010819462440961
12496,16,2022-09-12 08:00:00,4.791503525806999
20544,10,2022-09-15 21:00:00,4.118383649250628
64351,6,2022-09-09 04:00:00,4.150644309852316
58427,22,2022-09-25 05:00:00,3.926102031037077
42525,12,2022-09-05 18:00:00,4.989002810900803
30503,15,2022-09-29 04:00:00,3.8227073807945193
44514,26,2022-09-04 09:00:00,2.881558681145928
12497,11,2022-09-09 19:00:00,3.1053880276089783
44515,10,2022-09-23 06:00:00,4.034745645525281
64352,27,2022-09-29 10:00:00,2.967977067092412
4522,10,2022-09-05 02:00:00,3.828982033094283
38506,17,2022-09-05 07:00:00,3.038451592492797
26573,18,2022-09-11 22:00:00,3.733621583426344
30504,19,2022-09-09 06:00:00,3.7822642255293504
10525,17,2022-09-08 20:00:00,4.79920838299419
46463,25,2022-09-22 00:00:00,3.41342128982618
48534,13,2022-09-28 17:00:00,2.9503268931733526
68206,6,2022-09-12 10:00:00,2.9174461827789715
4523,32,2022-09-12 22:00:00,2.381404115582053
10526,23,2022-09-16 12:00:00,3.353484529816156
46464,26,2022-09-16 08:00:00,3.9443241985748174
48535,25,2022-09-08 17:00:00,3.538393427630841
56393,6,2022-09-13 17:00:00,3.9211432239232655
18555,8,2022-09-21 16:00:00,4.137242986473803
60401,17,2022-09-18 16:00:00,3.762041569000324
